site,name,price,url,sizes,availability,description
princesspolly,Reminisce Strapless Hardware Detail Top Black Sparkle,USD $45.00 0 Reviews,https://us.princesspolly.com/products/reminisce-strapless-hardware-detail-top-black-sparkle,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Knit top with hardware detail & strapless neckline Sparkle detail, silicon strip, gold-tone hardware, ruched, crop Good stretch, fully lined Princess Polly Lower Impact Main: 93% reclaimed polyester 7% elastane, Lining: 100% polyester Cold hand wash"
princesspolly,Pivot Active Zip Through Jacket Black,USD $75.00 QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/pivot-active-zip-through-jacket-black,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Active jacket with zip-through & long sleeves High neckline, twin front pockets, slim-fit Good stretch, unlined Princess Polly Lower Impact 87% reclaimed polyamide 13% elastane Cold gentle machine wash"
princesspolly,Goldsmith Faux Leather Bomber Jacket Washed Dark Brown,USD $109.00 30% OFF WITH CODE: 30TOP,https://us.princesspolly.com/products/goldsmith-faux-leather-jacket-washed-dark-brown,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Faux leather oversized bomber jacket Dark brown washed, classic collar, zip closure, twin hip pockets, ribbed waistband & cuffs Non-stretch, fully lined Main: 100% polyurethane Main Back: 100% polyester Lining: 100% polyester Cold gentle machine wash"
princesspolly,Bloom Long Sleeve Top Beige Stripe,USD $59.00 30% OFF WITH CODE: 30TOP,https://us.princesspolly.com/products/bloom-long-sleeve-beige-stripe,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Oversized long sleeve top Stripe print, crew neckline with contrast detail, drop shoulders Good stretch, unlined 48% polyester 42% cotton 10% viscose Cold hand wash"
princesspolly,Karley Low Waist Mini Skirt Black,USD $39.00 485 Reviews,https://us.princesspolly.com/products/karley-low-waist-mini-skirt-black,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Low-waist Mini skirt Elasticated waistband, slim-fit Good stretch, unlined 65% rayon 30% nylon 5% elastane Cold gentle machine wash"
princesspolly,Yumiko Romper Brown Pinstripe,USD $65.00 23 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/yumiko-romper-brown-pinstripe,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Tie-back stripe romper Crew neckline, built-in shorts, invisible zip fastening at back Non-stretch material, fully lined Princess Polly Lower Impact Main: 92% polyester 5% elastane 3% cotton, Lining: 97% polyester 3% Elastane Cold gentle machine wash"
princesspolly,Valentia Tiered Mini Dress Black,USD $70.00 25 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/valentia-tiered-mini-dress-black,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Tiered strapless mini dress Corset style, inner boning, slim-fit, pleated hem, zip closure at back Non-stretch material, fully lined Princess Polly Lower Impact 70% reclaimed viscose 25% reclaimed polyamide 5% elastane Cold gentle machine wash"
princesspolly,Osment Long Sleeve Knit Mini Dress Cream,USD $79.00 35 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/osment-long-sleeve-knit-mini-dress-cream,"XS/S, S/M, M/L, L/XL",,"Knit long sleeve mini dress Boat neckline, flared sleeves, fitted shape Good stretch, unlined 65% acrylic 35% nylon Cold gentle machine wash"
princesspolly,Idalina Slouchy Chiffon Top Cream,USD $55.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/idalina-slouchy-chiffon-top-cream,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Woven chiffon top with a slouchy fit & long sleeves One shoulder, soft ruched detail, fitted ribbed waist, drop shoulders, elasticated cuffs Partially stretched, partially lined Princess Polly Lower Impact Main 1: 100% reclaimed polyester, Main 2: 95% reclaimed cotton 5% spandex Cold hand wash"
princesspolly,Orelie Layered Knit Top Multi,USD $55.00 QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/orelie-layered-knit-top-multi,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Layered knit top with button detail Collared, scoop neckline, cap sleeves Good stretch, partially lined Princess Polly Lower Impact Main: 95% reclaimed cotton 5% elastane, Lining: 50% cotton 50% polyester Cold gentle machine wash"
princesspolly,Ashlinn Off Shoulder Long Sleeve Drapey Top White,USD $55.00 QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/ashlinn-off-shoulder-long-sleeve-drapey-top-white,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Knit top with draped detail & an off-shoulder neckline Elasticated waist, soft ruched detail, long sleeves Good stretch, partially lined Princess Polly Lower Impact 92% reclaimed viscose 8% elastane Cold gentle machine wash"
princesspolly,Baseline Rib Capri Pants Chocolate,USD $44.00 0 Reviews,https://us.princesspolly.com/products/baseline-rib-capri-pants-chocolate,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Pants in ribbed detail & capri-style fit Lace trim detail, elasticated waist, mid-rise fit Good stretch, unlined Princess Polly Lower Impact 95% reclaimed cotton 5% elastane Cold gentle machine wash"
princesspolly,Evani Sheer Chiffon Midi Skirt Polka Maroon,USD $61.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/evani-sheer-chiffon-midi-skirt-polka-maroon,"US 2, US 4, US 6, US 8, US 10, US 12, US 14",,"Sheer chiffon midi skirt in polka-dot print Elasticated waistband, lace trim detail, velvet-like polka-dot details Non-stretch material, unlined 100% polyester Cold hand wash"
princesspolly,Baseline Low Rise Rib Shorts Black,USD $39.00 73 Reviews,https://us.princesspolly.com/products/baseline-low-rise-rib-shorts-black,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Low-rise ribbed Shorts Folded-over waist detail, micro fit Good stretch, unlined Princess Polly Lower Impact 95% organic cotton 5% spandex Length of size US 2 / AU 6 waist to hem: 24cm / 9.4in"
princesspolly,Jaxton Faux Leather Jacket Brown,USD $109.00 QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/jaxton-faux-leather-jacket-black,"XS/S, S/M, M/L, L/XL",,"Oversized collared faux leather jacket Exposed stitching detail, button-up & zip closure, twin hip pockets, ribbed waistband, drop shoulders, buttoned cuffs, snap back button detail Non-stretch material, fully lined Main: 100% pu Back: 58% polyester 42% lyocell Lining: 100% polyester Wipe down outer garment with damp cloth"
princesspolly,Ryanna Sweater Beige,USD $65.00 190 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/recycled-fibers-ryanna-sweater-beige,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Oversized knit sweater Crew neckline, ribbed detail, drop shoulders Good stretch, unlined Princess Polly Lower Impact 97% reclaimed polyester 3% elastane Cold gentle machine wash"
princesspolly,Brienna Zip Jacket Navy,USD $69.00 33 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/brienna-zip-jacket-navy,"XS/S, S/M, M/L, L/XL",,"Oversized hooded jacket Stripe print, drawstring detail, zip-up closure, twin front pockets, drop shoulders Good stretch, unlined Princess Polly Lower Impact 70% reclaimed polyester 30% acrylic Cold gentle machine wash"
princesspolly,Salazar Longline Belted Trench Coat Chocolate Brown,USD $125.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/salazar-longline-belted-trench-coat-chocolate-brown,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Longline trench coat with belted detail Faux leather, lapel collar, button closure, twin hip pockets, drop shoulders, oversized Non-stretch material, fully lined Main: 55% polyester 45% PU, Lining: 100% polyester Wipe down outer garment with damp cloth"
princesspolly,Teala Boots Black,USD $95.00 486 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/teala-boots-black,"SHOE US 5, SHOE US 6, SHOE US 7, SHOE US 8, SHOE US 9, SHOE US 10, US 5, US 6, US 7, US 8, US 9, US 10",,"Faux leather knee-high boots Zip closure, rounded toe, padded footbed, block heel Upper, lining & insole: 100% water-based PU, Outsole: 100% rubber Heel height: 8cm / 3.1in Calf measurement US 8: 40cm / 15.7in, allow 1-2cm variance between sizes"
princesspolly,Goldsmith Faux Leather Bomber Jacket Burgundy,USD $109.00 577 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/goldsmith-pu-bomber-jacket-burgundy,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Bomber jacket Oversized fit, faux leather material, classic collar, zip front fastening, ribbed waistband and cuffs, twin hip pockets Non-stretch, fully lined Main: 100% polyurethane Main Back: 50% viscose 50% polyester Lining: 100% polyester"
princesspolly,Lukea Sleeveless Mini Dress White,USD $59.00 25 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/lukea-mini-dress-white,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Sleeveless tie-back mini dress Crew neckline, low back Good stretch, fully lined Princess Polly Lower Impact Main: 95% recycled polyester 5% spandex Lining 100% recycled polyester Cold gentle machine wash Length of size US 2 / AU 6 shoulder to hem: 76cm / 29.9in"
princesspolly,Pour It Up Long Sleeve Button Detail Top Leopard,USD $55.00 4 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/pour-it-up-long-sleeve-button-detail-top-leopard,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Long sleeve button detail top Leopard print, boat neckline, lace detail, crop fit Good-stretch material, unlined 90% polyester 10% elastane Cold gentle machine wash"
princesspolly,Yumiko Romper Black Sparkle,USD $75.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/yumiko-romper-black-sparkle,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Sequin sleeveless romper Crew neckline, built-in shorts, zip closure at back Non-stretch material, fully lined Princess Polly Lower Impact Main 1: 100% reclaimed PET Main 2: 100% polyester, Lining: 95% reclaimed polyester 5% elastane Cold gentle machine wash"
